Epoch [372/1000], Train Loss: 6.3384, Val Loss: 6.5180
Epoch [373/1000], Train Loss: 6.3377, Val Loss: 6.5163
Epoch [374/1000], Train Loss: 6.3347, Val Loss: 6.5147
Epoch [375/1000], Train Loss: 6.3333, Val Loss: 6.5130
Epoch [376/1000], Train Loss: 6.3298, Val Loss: 6.5113
Epoch [377/1000], Train Loss: 6.3288, Val Loss: 6.5097
Epoch [378/1000], Train Loss: 6.3262, Val Loss: 6.5080
Epoch [379/1000], Train Loss: 6.3228, Val Loss: 6.5064
Epoch [380/1000], Train Loss: 6.3222, Val Loss: 6.5047
Epoch [381/1000], Train Loss: 6.3204, Val Loss: 6.5031
Epoch [382/1000], Train Loss: 6.3179, Val Loss: 6.5015
Epoch [383/1000], Train Loss: 6.3163, Val Loss: 6.4998
Epoch [384/1000], Train Loss: 6.3137, Val Loss: 6.4982
Epoch [385/1000], Train Loss: 6.3117, Val Loss: 6.4966
Epoch [386/1000], Train Loss: 6.3089, Val Loss: 6.4950
Epoch [387/1000], Train Loss: 6.3072, Val Loss: 6.4934
Epoch [388/1000], Train Loss: 6.3054, Val Loss: 6.4918
Epoch [389/1000], Train Loss: 6.3019, Val Loss: 6.4902
Epoch [390/1000], Train Loss: 6.3015, Val Loss: 6.4886
Epoch [391/1000], Train Loss: 6.2982, Val Loss: 6.4870
Epoch [392/1000], Train Loss: 6.2963, Val Loss: 6.4854
Epoch [393/1000], Train Loss: 6.2933, Val Loss: 6.4839
Epoch [394/1000], Train Loss: 6.2920, Val Loss: 6.4823
Epoch [395/1000], Train Loss: 6.2903, Val Loss: 6.4807
Epoch [396/1000], Train Loss: 6.2887, Val Loss: 6.4792
Epoch [397/1000], Train Loss: 6.2863, Val Loss: 6.4776
Epoch [398/1000], Train Loss: 6.2842, Val Loss: 6.4761
Epoch [399/1000], Train Loss: 6.2816, Val Loss: 6.4745
Epoch [400/1000], Train Loss: 6.2795, Val Loss: 6.4730
Epoch [401/1000], Train Loss: 6.2777, Val Loss: 6.4715
Epoch [402/1000], Train Loss: 6.2752, Val Loss: 6.4699
Epoch [403/1000], Train Loss: 6.2727, Val Loss: 6.4684
Epoch [404/1000], Train Loss: 6.2706, Val Loss: 6.4669
Epoch [405/1000], Train Loss: 6.2693, Val Loss: 6.4654
Epoch [406/1000], Train Loss: 6.2682, Val Loss: 6.4639
Epoch [407/1000], Train Loss: 6.2642, Val Loss: 6.4624
Epoch [408/1000], Train Loss: 6.2634, Val Loss: 6.4609
Epoch [409/1000], Train Loss: 6.2613, Val Loss: 6.4594
Epoch [410/1000], Train Loss: 6.2589, Val Loss: 6.4579
